n12917054,佛州通过新选举法 限制邮寄投票和投递箱
n13239387,【思想领袖】摩尔：中共结盟塔利班对抗西方
n13286866,指示FBI应对抗议家长 美司法部公告引争议
n13287201,美参议员：毒品走私人口贩运 加剧边境危机
n13287500,防范CRT校园政治灌输 教师新创教育指南
n13287838,卢比奥吁SEC设规则 加强中国投资透明度
n13288632,中情局成立高级别新机构 对抗中共威胁
n13288853,【拍案惊奇】大陆黑监狱实录 海外揭中共成潮流
n13287781,美国暂停向中共售核材料 专家：忧核武威胁
n13288961,与杨洁篪会谈六小时后 沙利文首发声
n13286748,潘朵拉文件曝光中共用离岸公司收购军企
n13288869,“心跳法案”遭法官暂禁 德州宣布上诉
n13289054,分析：习近平为何想和美国缓和关系
n13289127,消息：美特种部队驻台 轮流训练士兵一年
n13289159,CDC建议感恩节室外聚会 新泽西州长称指南未必最佳
n13289183,美参院两党领袖达成提高债务上限短期协议
n13289209,美核潜艇在南海撞上水下物体 多人受轻伤
n13289235,【时事纵横】沙杨会无实效？美方火力不减
n13288880,沙杨会谈促成拜习会 分析：美安抚北京有用意
n13289248,【秦鹏直播】美军驻台一年多 党媒发文淡化影响
n13288977,【财商天下】美对华贸易新政 强硬还是软弱
n13289263,【横河观点】从长津湖到台海 中共想开战吗？
n13289080,加州漏油前有货船异常移动 调查人员登船检查
n13289228,【新闻看点】曾宝宝花样年或变国企 曾庆红危急？
n13289266,芯片禁令冲击下 华为手机及5G业务全球萎缩
n13289505,美国重申对台湾的坚定承诺 强调盟友合作
n13289478,何为拜登总统说的台湾协议？美国务院解释
n13289754,加州2022年几个重要公投提案
n13289729,中共在台海频挑衅 美议员促拜登强硬应对
n13290981,【新闻大家谈】美军驻台超1年 防中共危险诈术
n13291460,【拍案惊奇】习对台军事加压？CIA招中文特工
n13291582,莱特希泽：通过贸易输血中国 只会喂肥共产党
n13291689,美军驻台由来已久 为何现在放消息
n13291757,洛县警长说他不会强迫员工接种疫苗
n13291720,【远见快评】长津湖掀文字狱 中共两大谎言
n13291722,【秦鹏直播】报导诺贝尔和平奖 党媒也被“404”
n13291643,【新闻看点】美军永久驻台？中共战狼回应惹笑
n13291629,白宫：获豁免接种联邦雇员仍可能面临解雇
n13292065,脸书关闭“重开加州学校”家长群组
n13292045,戴琪刘鹤再通话 审查美中贸易协议执行情况
n13292017,麦康奈尔致信拜登 不会再协助提高债务上限
n13292220,推翻川普政策 拜登恢复三个国家保护区面积
n13291699,沙杨闭门会谈后 专家谈美中关系走向
n13291331,【军事热点】四航母编队现身南海 美英军演正酣
n13292962,美中贸易通话 戴琪和刘鹤各提要求
n13292893,美两党议员：应取消对台战略模糊 威慑中共
n13292996,美核潜艇撞物 分析：南海海底环境最复杂
n13292849,【微视频】传中共三倍价偷买45万吨澳洲煤
n13293473,【横河观点】习谈台湾问题 美踩红线打脸中共
n13293260,【方菲访谈】韦斯特中校: 美国面临的威胁
n13286888,美航母主力战机 新款F/A-18超级大黄蜂有何改进
n13291358,【时事军事】核能力F-35A 让对手恐惧的威胁
n13295170,截止期临近 数十万美军仍未接种疫苗
n13264374,【思想领袖】《塔特尔双胞胎》解共产之毒
n13295863,耶伦：相信美国会将通过全球企业最低税
n13295506,脸书推新措施提高儿童安全 有效性遭质疑
n13296456,美西南航空实施强制疫苗令 遭飞行员工会起诉
n13296698,多名中国留学生赴美遭遣返 电子设备被没收
n13296864,涉操纵数据以提高中国排名 IMF总裁去留未定
n13297144,【名家专栏】结束“美式共产主义”
n13297065,【微视频】长津湖成预言？李克强叫停环保大跃进
n13297166,【拍案惊奇】侵台方案明朗？中共制造台分裂
n13297504,不满洛杉矶学区强制疫苗令 STEM学生家长提告
n13297529,FAPA洛城前会长：与中共打交道成本越来越高
n13297536,兰德分析师：中共担忧2024年台湾大选
n13297751,拜登政府购买大陆无人机 前情报总监：危害国安
n13297734,【时事纵横】中共禁民企涉传媒 马云帝国危险？
n13297739,【远见快评】和统即武统？习与台湾隔空交手
n13297708,【新闻看点‭】台湾成核心焦点 美中紧张升级？
n13297772,【秦鹏直播】《鱿鱼游戏》爆红 蔡英文谈四坚持
n13295567,美在台训练军事力量 专家：评估台湾抗共能力
n13299677,【拍案惊奇】FBI抓核艇泄密人 江派官员落马
n13300005,【预告】专访谢金河: 中国经济的最大变数
n13300129,【时事纵横】党媒爆共军弱点 5原因习不攻台？
n13299950,疫苗令致缺人手 麻州调国民警卫队助公校检测
n13300019,分析：中共两手对台政策 既骚扰又谈判
n13300377,五角大楼：中共持续恐吓 美确保台湾自卫能力
n13300279,【秦鹏直播】中共模拟登陆台湾 专家：不堪一击
n13300210,洛杉矶学区延后员工疫苗接种截止日
n13300326,【横河观点】大外宣披露孙傅案情 与官方不同
n13300424,疑遭声波攻击 美驻哥国5名外交官家属现症状
n13300557,洛杉矶市严格强制疫苗令引发争议
n13300637,加州公务员系统引入种族偏好的AB105法案被否
n13300669,南加州凯撒医护人员投票授权罢工
n13300426,如何让五角大楼节省1万亿？美CBO提三方案
n13300263,【新闻看点】习暂不打台湾？美改变抗共战略
n13300776,美众院通过临时债务上限法案 送交拜登签署
n13301423,疫情之下 美国税收出现44年来最大增长
n13302396,曾救过拜登的阿富汗口译员获美救助 成功出境
n13302126,【拍案惊奇】台湾需核武吗？美国学者讨论
n13302741,【时事纵横】砸15亿建生态基金 习增外交筹码？
n13291224,中共回应台防长“最严峻时刻”上微博热搜
n13302761,【远见快评】马云脱手媒体股份 习会查王岐山？
n13302784,【秦鹏直播】莆田命案引爆网络 官方急维稳
n13272467,【思想领袖】洛迈尔：批判种族理论侵蚀军队
n13302717,【新闻看点】马云香港现身 王健林买政治保险
n13303004,波士顿爆炸案再审 美最高法院或恢复死刑判决
n13283523,【直播】美智库：中共军机扰台 美台如何应对
n13302548,【有冇搞错】美国怎么打台海之战？
n13300186,台官方证实 存在斩首行动精锐部队
n13304453,【拍案惊奇】终结台湾核武梦的CIA线人张宪义
n13304862,【直播】美国会听证：评估香港人权状况
n13304814,美国重返有争议的联合国人权理事会
n13304571,芝加哥强制疫苗令 半数警察或下岗 工会吁抵制
n13305044,深蓝加州最近两月又通过了哪些新法
n13305269,新泽西州长竞选末场辩论 影响难料
n13304392,【微视频】总裁被控为中共造假 IMF为恒大背书？
n13305250,跟刘鹤通话后 戴琪首次对媒体透露情况
n13305166,【时事纵横】谈民主说通胀 习李讲话同遭质疑
n13305179,【秦鹏直播】老朋友玩低级红？普京默克尔暗怼习
n13305264,【横河观点】民资禁涉媒体 财新背后财团是谁？
n13305550,副总统哈里斯访新泽西 促立法加儿童保育资金
n13305099,【新闻看点 】重返人权理事会 美将与中共对决
n13305553,反强打疫苗 数百家长学生涌入加州校董会
n13305315,美前总统克林顿加州入院治疗
n13305233,FDA专家组支持高危族群打第三针莫德纳疫苗
n13305462,美议员吁拜登将华为分拆公司荣耀列黑名单
n13305644,737 MAX空难追责 美正式起诉前波音试飞员
n13307016,【拍案惊奇】中共是台独鼻祖 升级三空军基地
n13307558,洛市议员及USC前院长遭联邦腐败案起诉
n13307324,高院裁决后 拜登恢复“留在墨西哥”政策
n13306869,【名家专栏】台北北京华盛顿 三方动态影响全球
n13307682,【远见快评】欧金中挥刃舆论沸腾 胡锡进心惊？
n13307697,【秦鹏直播】大陆房市雪上加霜 房地产税或出炉
n13307680,波莫纳越境儿童收容所下月关闭
n13307774,数百未打疫苗的洛城消防员拟继续上班
n13307664,【新闻看点】党报诡异捧习父子 反习势力蠢动？
n13307567,美司法部：将请最高法院搁置德州心跳法案
n13307936,疫苗战开打 芝加哥市长与警察工会互相提告
n13308214,29选区市议员候选人迈克 获纽约市居民联盟背书
n13308183,市议员纪思庭竞选连任 众华社领袖支持
n13308259,50名中国留美学生身份被终止 面临驱逐出境
n13308552,美FDA考虑降低辉瑞加强剂的接种年龄
n13308362,【军事热点】美运用印太盟友优势互补 对抗中共
n13308900,美两党提案：建工作组对抗中共经济胁迫
n13308910,美国将放松旅行限制 你需要了解的几件事
n13309343,离开日本5个月返回 里根号航母行踪全曝光
n13309418,【横河观点】大外宣揭“610 ”？透露何信息
n13309447,美海军：未接种疫苗官兵将退伍 面临经济处罚
n13300198,美海军拟将攻击潜艇打造成“顶级捕食者”
n13310229,17名美国传教士及家人在海地遭绑架
n13310453,美军证实美加军舰联合通过台湾海峡
n13310399,【名家专栏】三方动态构成与中共开战的条件
n13283489,【思想领袖】共产暴政和西方文明的自毁
n13312574,拒绝联邦疫苗令 共和党州总检察长誓言起诉
n13312739,美防长：美国密切关注中共武器发展
n13312819,【快讯】美前国务卿鲍威尔染疫 死于并发症
n13312904,【直播】美智库论坛：中共对宗教开战
n13312740,【微视频】中共开放炒房？百姓要替恒大们还债了
n13313044,【拍案惊奇】台商大举撤出大陆 几乎跑掉一半
n13313182,中共否认测试高超音速导弹 美日密切关注
n13313309,CIA招募懂中文特工？中共急了要打反谍战
n13313329,中共超高音速导弹芯片来自美国 议员促白宫行动
n13313404,蓬佩奥出席旅美港人聚会：共同抵抗中共专制
n13313373,共机频扰台 美台讨论提前交付66架F-16V战机
n13313416,白宫不置评中共测试导弹 称不希望竞争变冲突
n13313454,美重审制裁政策 警告加密货币会威胁制裁效果
n13313691,两家长组织司法挑战LAUSD学生疫苗令
n13313595,【远见快评】欧金中自杀疑云重重 中共担忧什么
n13313717,近40%加州公务员未接种COVID疫苗
n13313810,加州法官裁决：暂停州监狱强制接种令
n13313471,力阻德州心跳法案 司法部正式向最高院提申请
n13313864,南加父母携孩子响应罢校运动 抵制疫苗令
n13313928,加州各地民众集会 反对强制给孩子打疫苗
n13313071,【新闻看点】中共六中会期敲定 江派被摆平？
n13313751,美国阿富汗问题特使辞职 副手将接任工作
n13313078,【军事热点】美加军舰通过台湾海峡 宣示坚定承诺
n13315185,中国相关黑客组织潜入全球移动网 获通话记录
n13315394,【拍案惊奇】习近平当局谈“东汉政变”
n13315711,中共测试高超音速导弹？美议员吁拜登改路线
n13316029,【秦鹏直播】网红喝农药酿悲剧 谁该负责？
n13316113,民主党提案监控民众银行账户存争议 耶伦让步
n13316078,【横河观点】谁是孙力军政治团伙 料将被大清洗
n13316006,加州第6区众议员再质疑疫苗令
n13316332,西南航空工会抵制疫苗令 橙县民众力挺
n13316121,五角大楼：确保供应链 美国需要更多稀土矿
n13315446,【新闻看点】马云西班牙度假 林郑不见“偶像”
n13316226,美国民兵进驻德州边境郡 帮助阻止非法移民
n13316477,美参院外委会通过法案 制裁危害南海中共人士
n13316740,1月6日委员会投票认定班农藐视国会
n13316834,美国土安全部长染疫 已完整接种疫苗
n13317609,忧外企监控电信网络 美议员促FCC解决
n13317617,COP26气候峰会将至 与会名单一文看懂
n13317812,北京力推数字丝绸之路 学者：美国有实力抗衡
n13317854,美国务院：今年截至9月 中共试射250枚弹道导弹
n13316848,美加军舰联合穿越台湾海峡 专家点评
n13317717,【拍案惊奇】习拼连任 一天换下5省“一把手”
n13318088,世贸审议中国贸易政策 美日澳齐向中共开火
n13318037,美驻华准大使：中共必须停止种族灭绝
n13297203,【思想领袖】谢伦伯格：气候灾难被严重夸大
n13318000,白思豪要求纽约市所有公职人员接种疫苗
n13317550,【名家专栏】加州工会触目惊心的腐败
n13318346,中共高超音速导弹成焦点 拜登担忧
n13318407,【远见快评】中南海内斗激烈 习近平连让三步
n13318417,【秦鹏直播】中共演绎真实“鱿鱼游戏”
n13318382,【新闻看点】财新被踢出白名单 胡舒立麻烦了？
n13318594,美商务部出新规 禁向中俄出售黑客工具
n13318619,徐延军间谍案在美开审 手机曾遭远程擦除数据
n13319226,未查顾客疫苗证明被关店 In-N-Out汉堡发声明
n13317771,中共测高超音速导弹？白宫五角大楼国会密集回应
n13319073,美参院共和党人再阻止推进投票权法案
n13320138,川普将推社群网站 测试版11月登场
n13320532,拒打疫苗 新泽西近250名医院员工遭解雇
n13320040,中共测高超音速导弹？美议员警告核军备竞赛
n13318440,【微视频】无力解决煤炭短缺 中共找替罪羊
n13320687,NBA球星谈西藏问题和习近平 在中国遭审查
n13320642,中共持续侵蚀香港自由 美国务院发声明关切
n13320700,美议员推“击败中共”法案 应对供应链危机
n13320436,芝加哥未打疫苗警察遭停职 印第安纳：来我这
n13320860,消息：中共监管机构建议滴滴等企业赴港上市
n13320971,华为和中芯半年内各获数百亿美国技术许可
n13320906,洛杉矶县警员挑战疫苗登记令
n13321068,美众议员：拜登疫苗强制令 引巨大反弹
n13320798,美国家卫生院间接承认其资助过武汉病毒所
n13321160,【横河观点】回光返照？中共史上第3个历史决议
n13321180,华为第三季支付民主党顶级说客50万美元
n13321086,河滨法官让ICE全美释放无证移民令 遭驳回
n13321073,佛州州长：议会将举行特别会议 对抗疫苗令
n13321019,【新闻看点】美准驻华大使：中共有致命缺陷
n13321341,回应保护台湾问题 拜登：我们对此有过承诺
n13321765,美CVS 聘前密西根首席医疗执行官为副总裁
n13322521,美军推高超音速武器计划 3项测试成功
n13322614,CDC推荐COVID-19疫苗加强剂 美国人可混打
n13323051,【新闻大家谈】钢琴王子李云迪奏红歌 还是栽了
n13323065,亲共推特账号被指传假消息 将疫源甩锅给龙虾
n13323267,NBA球星在中国遭杯葛 美国务院发声
n13323071,【拍案惊奇】从北京到沈阳 大爆炸逢中共敏感日
n13323321,美防长：将继续帮助台湾自卫
n13323367,无惧遭审查 NBA球星继续批评中共迫害人权
n13323402,蓬佩奥获“和平建筑师奖”  会上感言
n13323265,阻拜登疫苗令 亚利桑那州申请法院临时限制令
n13323440,美反情报机构缩小关键技术保护范围 锁定五领域
n13323511,【远见快评】抛“李云迪嫖娼”中共一箭双雕？
n13323529,【秦鹏直播】谁是朝阳群众？起底中共情报网
n13322798,【名家专栏】美国公民权的独特性
n13323443,戴原住民仿头饰跳舞 加州教师被停职
n13323501,【新闻看点】拜登再承诺保护台湾 白宫如何说？
n13323713,前业者：美列管大疆无人机有必要
n13323608,美最高法院就德州反堕胎法下月听取辩论
n13323792,美情报官警告 中共正在收集全球基因数据
n13323196,拜习会将登场 专家解析拜登对华三政策
n13323875,纽约两警察工会就强制疫苗诉诸法律
n13323939,纽约普选 白育青造势 吁不分党派投票给他
n13323482,【军事热点】北约积极应对俄罗斯核威胁
n13324662,NASA：对抗中共太空野心 美需核动力航天器
n13324933,能源危机冲击在华外企 专家：促供应链转移
n13324938,致拜登信中称家长为恐怖分子 全国校董协会道歉
n13325128,【新闻看点】房产税试点出台 传神秘人抛93套房
n13325462,对拜登保护台湾言论的解读：口误立场或战术
n13318131,为何将F-35A变成隐形“核轰炸机”是好主意
n13326560,习近平讲话前 美国务院声明促台湾参与联合国
n13326261,纽约市收紧疫苗令 波及12.5万非公职人员
n13326722,美财长耶伦：美国没有失去对通胀的控制
n13297585,【思想领袖】基辛：用正义判断 不做有用的白痴
n13326979,美CDC将精神疾病列入染疫高风险因素
n13327049,【新闻大家谈】山西洪灾 无预警泄洪内幕
n13328909,美议员促商务部解决紧急问题 防中共获技术
n13328473,【拍案惊奇】拜登喊军事护台是口误吗？
n13329167,佛州积极招募外州警察 给五千美元安家费
n13329234,取消入境禁令 美政府详述国际旅行新要求
n13329297,分析：中俄军舰联合演习 反促日本加强国防
n13329323,【远见快评】习纪念入联讲4要点 美点中共软肋
n13329384,【秦鹏直播】与中共开战？澳防长：让对方回答
n13329490,北加因疫苗令关闭企业 南加城市欢迎In-N-Out入驻
n13329252,【新闻看点】尹家绪反习被抓？多地诡异爆炸
n13329918,驻纽约经文处  驳斥中共错误引用联大2758号决议
n13329190,【军事热点】美国国会要求增产F-35战斗机
n13331235,布林肯促所有成员国支持台湾参与联合国
n13331063,【拍案惊奇】习整肃瞄准高层 孟建柱也进射程？
n13331452,FCC列6大原因 撤销中国电信美国运营权
n13331491,徐延军携200张私人照 胁迫美工程师当间谍
n13331584,新西兰愿意加入美英澳三边协议
n13331266,商业团体吁拜登推迟疫苗令 至少拖到圣诞季后
n13331298,陈净：保卫台湾是口误？拜登踩中共底线多次
n13331858,【秦鹏直播】黄明志流泪回击中共封杀：人们觉醒
n13331868,【横河观点】福西两大丑闻曝光 国会愤怒追责
n13329325,WTO审议中国政策 专家：中共越发挑战规则
n13331612,FDA顾问组投票 支持5-11岁儿童接种辉瑞疫苗
n13331851,【新闻看点】大管家石刚被免职 李克强失影响力？
n13332198,吁政府应对多重危机 共和党众议员联合建言
n13332014,美国议员吁拜登取消国防承包商疫苗令
n13332516,【直播预告】年度中国论坛 余茂春、白邦瑞发言
n13332479,美议员忧社交平台伤害儿童 促公开内部研究
n13332726,雷神公司CEO：疫苗令将使公司损失数千人
n13333519,【新闻大家谈】美挺台参与UN机构 能否破阵？
n13333772,美国务院将成立新的网络安全局
n13333847,拜登：关注中共在台湾海峡的胁迫行动
n13329522,反对拜登政府疫苗令 50名联邦雇员联合起诉
n13334071,米利：美高度关注中共高超音速武器试验
n13333907,【拍案惊奇】马斯克重登世界首富 许家印跌惨了
n13334306,洛市议员：没有腐败 150万美元贿赂是礼物
n13334312,德州通过法案：学生运动员需按出生性别参赛
n13334091,美检方：徐延军涉骇入外国航空公司盗窃
n13333962,美要求英高院引渡阿桑奇 承诺准其回澳洲服刑
n13334353,美智库提议“毒蛙”战略 对抗中共侵台外岛
n13334309,【远见快评】美英澳联盟扩编？美挺台“入联”
n13334476,【秦鹏直播】李克强为电荒背锅 大管家被免职
n13334332,五角大楼警告：ISIS-K或在6-12月内发动恐袭
n13334447,【新闻看点】美中关系或颠覆？布林肯正式挺台
n13334407,吴钊燮秘访布鲁塞尔 或与王毅同时现身罗马
n13334714,消息：白宫将推气候新规 无论国会是否支持
n13334967,美议员提法案 支持台湾加入美洲开发银行
n13320644,【思想领袖】马龙：全民打疫苗的潜在问题
n13334041,【时事军事】高超音速导弹的核能力 或引火烧身
n13336535,中共加紧拉拢拉美 厄瓜多尔大使吁美国行动
n13336334,蔡英文曝美台军事联系 专家：美中台博弈升级
n13336960,秘录视频曝光遭抨击 墨菲否认将推行强制疫苗接种
n13336529,白宫公布“重建更好”计划 拜登赴国会吁支持
n13336407,【微视频】中国煤荒 黑市价暴涨 油价14次连涨
n13336948,印度在中印边界部署奇努克直升机等美国武器
n13337021,前五角大楼官员警告：中共正在紧逼美军
n13336230,【名家专栏】美新任大使重申对中共强硬原则
n13336536,【拍案惊奇】李克强大秘石刚是令计划第二？
n13337136,前纽约州长库默被控“性犯罪”
n13337167,【秦鹏直播】蔡英文承认美军在台 美台切香肠？
n13337219,民调：37%未接种美国员工会因疫苗令而辞职
n13337454,In-N-Out汉堡因疫苗令再被关一分店
n13336835,【新闻看点】被蔡英文“将军”中共跳脚喊回击
n13337503,警长质疑洛县监事涉入雷德利-托马斯腐败案
n13337453,戴琪：美中关系似干柴 接触中方为降温
n13337530,消息：为孟晚舟案游说 华府说客收百万酬金
n13337555,资助武汉蝙蝠研究 美机构称符合NIH拨款要求
n13337344,佛州告拜登政府 指控疫苗令非法 威胁州经济
n13337778,美参议员提国防授权法修正案 抵制北京冬奥
n13338183,南达科他州签署命令 放宽疫苗豁免规定
n13338881,【新闻大家谈】菜篮子快拎不动 菜肉价还要涨？
n13339157,受美制裁影响 华为连续第四季度收入减少
n13339171,【拍案惊奇】军委改组 习核心团队新名单传出
n13339499,抵制疫苗令之际 佛州疫情数字达全美最低
n13339687,FBI突袭搜查百富环球佛州办公室
n13339765,家长是威胁？ 参议员克鲁兹质问司法部长
n13339404,法官发布限制令 防拜登政府惩罚不打疫苗雇员
n13339732,拜登与马克龙会面 修复美法关系
n13339953,美民主党扩大国税局监视账户提案 遭批后被撤
n13339955,【远见快评】三管齐下 习发起战争动员？
n13339957,【秦鹏直播】四大卫视被整肃 娱乐也要“学习”？
n13339787,拜登政府拟巨额补偿非法移民 55议员要求解释
n13339932,【新闻看点】习缺席两峰会 中共3动作忙备战？
n13340166,居民担忧玛丽安德尔湾成游民安置点
n13340188,华埠老人公寓因电梯故障 业主被控16项轻罪
n13340039,美公布COVID起源调查报告 情报界：难有定论
n13340356,舒默为黄敏仪背书
n13340346,市长候选人斯利瓦出车祸 左臂骨折已出院
n13340229,疫苗期限前 市警举办申请退休活动
n13340232,工会反对强制令 警告纽约即将陷入“灾难”
n13340067,美FDA批准为5至11岁儿童接种辉瑞疫苗
n13340348,詹乐霞宣布竞选纽约州长 挑战霍楚
n13340448,中共对台威胁加剧 美议员促增加印太硬实力
n13336783,世界最先进航母 美国福特号即将出征
n13341124,G20峰会拉开帷幕 六大看点一文看懂
n13341140,拜登政府推疫苗强制令 19个州起诉
n13341241,美欧接近达成贸易协议 取消钢铝关税
n13341643,美最高院拒绝审理缅因州疫苗接种紧急上诉案
n13341619,美高管：美中地缘政治对未来供应链酿压力
n13341791,【重播】余茂春：遏制中共 协防台湾至关重要
n13341903,美国欧盟达成钢铝关税协议
n13341907,FDA专家批准儿童接种疫苗 议员提出质疑
n13334754,训练台湾军人 绿色贝雷帽如何做到威慑中共
n13342114,【时事军事】无人机使F-35C能打击敌纵深目标
n13343078,共和党议员警告：中共利用美国技术制造武器
n13343113,布林肯面告王毅 美反对中共升级台海局势
n13343364,美官员：无附加条件 美再赠台150万剂疫苗
n13343612,白宫发言人普萨基染疫 已接种疫苗
n13343502,布林肯：美国将支持台湾对抗中共侵略
n13312824,【思想领袖】雷克滕瓦德：美国的软性文革
n13344244,洛县民众集会吁：为自由和权利而战
n13344607,美国逮捕中国外逃商人施建祥 控签证欺诈
n13344862,美韩年度联合空演低调启动 以支持无核化谈判
n13345197,美欧结束钢铝税争端 拜登：阻中共不洁钢铁
n13345290,【新闻大家谈】中共防疫升级 违者最高判死刑？
n13345411,【微视频】G20峰会再促环保 2022物价将大涨
n13345550,【拍案惊奇】一周8场爆炸 习近平政敌策划？
n13345880,呼吁对抗气候危机 白宫批中共消极对待
n13345955,法官支持警察工会 暂阻芝加哥强制接种疫苗
n13346108,被中共间谍黏上 美华裔工程师沦为司机
n13346224,【远见快评】布林肯中计？王毅策划“晏子使楚”
n13346315,白宫：联邦承包商可灵活执行疫苗强制令
n13346435,质疑强制COVID检测合约 洛警工会控告市政府
n13346107,拜登1.75万亿支出法案遇挫 曼钦拒支持
n13346138,海狼级核潜艇在南海撞物 美海军找到答案？
n13346259,【秦鹏直播】中共正犯下苏联冷战时的错误
n13346172,【新闻看点】美抓叶问老板施建祥 助习连任？
n13347143,洛警长：强打疫苗或严重威胁公共安全
n13345196,【军事热点】美国B1-B飞越中东咽喉 威慑伊朗
n13347999,美军核侦察机罕现南海 公开夜间起降影片
n13348076,COP26：美国倡导更美好世界 对抗一带一路
n13348577,美中情局局长突然率团访问莫斯科
n13348180,报告：中共建造导弹发射井似乎进展很快
n13348430,【独家】纳瓦罗新书披露内幕 吁推翻中共
n13348766,戴琪：将全力阻止中国进口冲击美钢铁产业
n13348752,【重播】美前国防高官：中共邪恶政权如同纳粹
n13348241,气候峰会北京承诺减碳 分析：政治秀难奏效
n13348886,制裁下无法获关键芯片 传华为拟卖服务器业务
n13348824,拜登：不担心和中国发生武装冲突可能性
n13348648,美国会民主党人达成协议 降低药品价格
n13348161,【拍案惊奇】美抓了红通犯 习拜会前能引渡回国吗？
n13348935,【秦鹏直播】中共商务部公告要储粮 引发猜测
n13348963,【横河观点】中俄缺席气候大会 政商巨头拼排碳
n13348299,【方菲访谈】李锐日记有中共害怕的秘密（上）
n13348879,【新闻看点】张高丽丑闻被举报 彭帅文章被删
n13349165,拜登：习近平缺席COP26峰会是个大错误
n13349247,NASA喷气推进实验室科学家 抗议联邦疫苗令
n13349210,纽约市长选举 布碌崙区长亚当斯当选
n13349038,美最高法院支持宗教团体 要求重审纽约堕胎令
n13349090,美国多个州长签行政令 抵制拜登疫苗强制令
n13349255,【快讯】俄亥俄州辛辛那提选出首位亚裔市长
n13349364,台裔吴弭改写历史 波士顿200年来首位女市长
n13349800,弗吉尼亚州长选举 共和党人杨金当选
n13350674,因COVID-19大流行 美CDC重新定义“疫苗”
n13351126,美将四家公司列实体名单 指其涉恶意网络活动
n13350792,【拍案惊奇】彭帅揭性侵不偶然 习敲山震虎？
n13350850,参院共和党援引法案 拟废除拜登私企疫苗令
n13351332,五角大楼：中共急速发展核武 将达千枚核弹
n13351193,米利：毫无疑问 美国绝对有能力保卫台湾
n13351398,美联储11月下旬开始缩减购债 利率不变
n13334125,【思想领袖】夏兰：美国需赢得中共AI之战
n13351162,拜登批习缺席峰会 专家：借气候议题联盟抗共
n13351455,民调：4成中国人对美国看法非常正面
n13351342,洛杉矶县警长：疫苗令致警察流失及安全威胁
n13351678,疫苗受试者和受害者现身说法 参议员倾听
n13351763,洛县何时解除口罩令？卫生部设新标准
n13351722,【远见快评】彭帅自曝成高官玩物 打击不只一人
n13351726,五角大楼报告：攻台是中共军队重中之重
n13351803,共和党2021选举取得惊人胜利 民主党陷困境
n13351647,美参院外委会通过驻华大使人选伯恩斯提名案
n13351924,两党参议员提法案 限中共收购美国人个人数据
n13352010,边境巡逻或因强制疫苗令致队员短缺
n13351564,【新闻看点】中共台海布战云 多城百姓抢米油
n13351876,台驻美国防专员：若遭入侵 台军将战斗到底
n13351752,【秦鹏直播】维州选举翻红 政治素人撼动美国
n13351954,新泽西州现任州长宣布胜选 计票仍在进行中
n13351719,纽约当选市长：需重新考虑如何处理疫苗令
n13351304,【时事军事】揭秘：美假想敌飞机出现中共军徽
n13353492,拜登政府宣布企业疫苗令于1月4日生效
n13351932,【微视频】钱印多了物价飞涨 影响美国中期选举
n13352157,美专家：中美冷战的军备竞赛早已开始
n13351795,新泽西现任州长宣布连任 州参院主席意外落选
n13353687,向边境离散家庭每人支付45万美元？拜登否认
n13353966,夏令时即将结束 美19州欲全年实行夏令时
n13354006,美参院听证会 保罗批福西更改功能增益定义
n13354287,保护台湾不受攻击 民主党人吁拜登减少模糊性
n13354270,【秦鹏直播】习放行彭帅微博？中纪委补刀张高丽
n13354216,美多名参议员提法案 斥资助台湾抵御中共武力
n13354344,【横河观点】维州全面翻红 美选民拒绝社会主义
n13353629,【方菲访谈】李南央：中共党法挑战美国国法（下）
n13354463,加州强制学生打疫苗 洛县家长聚集抗议
n13354495,传马云当年与川普会面 引发中共高层不满
n13354252,多国批评中共不公贸易后 习近平谈产业补贴
n13354535,拜登政府就选举改革法起诉德州
n13354249,【新闻看点】中纪委翻天津旧账 传张高丽遭调查
n13354549,保护私企和雇员 佛州正式起诉拜登政府疫苗令
n13355114,美参院听证 CDC主任拒绝透露员工接种率
n13355885,【新闻大家谈】五角大楼揭中共“最高机密”？
n13356069,习拜会在即 白宫：美中未计划重开被关领事馆
n13356527,无证移民可领疫情救济金 新泽西开放“被排除工人基金”申请
n13356146,拒绝接种疫苗 数千美情报官员面临解雇风险
n13356554,神秘声波列入紧急优先事项 布林肯誓言彻查
n13356754,美两党参议员提法案 限科技巨头收购竞争对手
n13356789,【远见快评】六中全会内容泄露 习与虎谋皮？
n13356732,【秦鹏直播】马云及海底捞遇麻烦 因惹赵家人？
n13356801,美首都居民对弗州民主党败选有何看法
n13356944,洛杉矶市严格疫苗令下周实施 暂缓开罚
n13356896,美陪审团判定中共国安官员徐延军间谍罪成
n13356390,【新闻看点】彭帅微博藏秘密？传有人暗中相助
n13357004,未接种消防员需周测病毒2次  谁埋单
n13357016,美参议员座谈会上 医学专家忧快速推广疫苗
n13356740,美参议员提法案 要求72小时内报告网攻事件
n13357031,民主党内化解分歧 为1.2万亿基建法案投票
n13357063,美国防部：关注俄军在乌克兰边境军事异动
n13357197,美众院共和党人计划叫停拜登疫苗强制令
n13357154,民主党、共和党市长候选人 纽约哪些地区占优势？
n13357167,库默性骚案 检察官称指控有瑕疵 延后开庭
n13356591,【军事热点】北韩导弹试射 美韩低调大规模军演
n13358389,美议员：民主党将在2022中期选举中受挫
