n12902211,北京73岁法轮功学员张淑香在迫害中离世
n13238398,维权律师常玮平长期遭酷刑“生不如死”
n13236782,法轮功学员钟俊芳遭迫害20年 亲友举报责任人
n13238345,信访办局长接待日 重庆访民唐云淑被警方带走
n13239602,【一线采访】河南恒大维权民众遭暴力清场
n13239559,律师修法轮功遭冤判7年 其妻被非法关押
n13240672,重庆访民向中央督导组伸冤遭抓捕
n13241453,巴中监狱称探视系统升级 不许黄琦母亲会见儿子
n13241660,余文生律师妻子许艳被禁出门 吁外界关注
n13243241,创建“铁路工人节” 火车司机李伟杰遭打压
n13240636,中共何以令一位精英人士流亡美国（1）
n13243381,中国留学生在联合国前维权 诉中共警察性侵
n13243972,用人权换气候合作？美议员忧拜登政府会让步
n13242439,法轮功学员朱喜玉第三次被劫入吉林女监
n13230075,律师眼中承受苦难的圣徒：绝食四年对抗中共
n13244300,中国留学生加拿大发推 中共网警跨海威胁
n13245484,DAFOH主任：中共活摘器官行径可输出到他国
n13246137,广州警察用膝盖压司机致瘫软 视频热传
n13245260,长沙十多名法轮功学员被非法关押近一年
n13245440,法轮功学员孙建中再陷冤狱 曾遭酷刑折磨
n13247021,举报湖北潜江开发商等单位造假 业主遭殴打
n13247852,英议员：活摘器官是“商业化谋杀”必须终止
n13247977,法轮功学员范淑英遭黑龙江女监迫害离世
n13248446,卢比奥曾发起决议谴责中共 邢鉴：人权无国界
n13250251,重庆访民赵亮遭维稳人刺伤左腿 缝40余针
n13250582,中秋佳节 大陆维权律师遭打压 难与亲人团圆
n13250626,互联网自由度排名 中国连续七年垫底
n13252405,屡遭围堵软禁 人权律师王全璋申请国家赔偿
n13253550,世界反活摘峰会 欧美亚医界谴责中共罪行
n13252717,“最优秀的人才”黑龙江一教师面临非法庭审
n13249117,组图：中国军队法轮功学员祝李大师中秋好
n13248593,组图：中国教育界法轮功学员祝李大师中秋好
n13254384,拦信访局长车喊冤 黑龙江访民刘杰被批捕
n13255439,大连新上任政法委书记刘宏涉百余起命案
n13256050,儿遭绑架 下落不明 七旬老母受煎熬
n13257687,近一两个月 多名八旬法轮功学员遭中共冤判（2）
n13258934,中国80后因微信言论遭审讯抽血 跳海逃亡美国
n13259127,证人指证 重庆当局重金阻挠活摘器官疑案调查
n13259995,美日印澳首脑联合声明 十大看点一文看懂
n13260298,孟晚舟获释 美议员警告拜登勿对中共绥靖
n13258579,近期吉林延吉多名七八旬法轮功学员失踪
n13259730,“反活摘之世界宣言”吁全人类制止中共暴行
n13261976,加国教授：中共对法轮功实施“冷种族灭绝”
n13261750,武汉七旬夫妇面临非法收监 妻子流离失所
n13262023,被查的山西退休国保总队长李柏还涉哪些罪
n13262407,中国独立记者黄雪琴或遭警方指定监视居住
n13263236,母亲坚守信仰被抓 父亲瘫痪 女儿海外吁营救
n13263888,儿遭冤判三年 陕西八旬老父亲悲愤离世
n13264638,长春母女因信仰遭冤判9年和6年 上诉已立案
n13267046,胜利油田法轮功学员王连忠遭中共迫害离世
n13267904,湖北维权人士伍立娟进京遭层层拦截
n13267202,冤狱十多年 上海法轮功学员杨曼晔再遭枉判2年
n13269049,长沙律师孟凯被枉判3年半 曾遭冤狱7年
n13269553,检察院退卷 辽宁法轮功学员潘晶获释
n13269831,中国逃亡美国80后 遭中共越洋恐吓
n13269731,苏州吴江区检察院和法院勾结 枉判法轮功学员
n13271336,佩洛西见吾尔开希 ：台湾是心中极为特别地方
n13272630,失踪570天后 陈秋实首次公开现身
n13272220,四川巴中市中共官员及警察等19人遭恶运
n13274724,忧中共人质外交 在华商会：商业被政治化
n13274200,2021上半年 北京法轮功学员遭迫害综述
n13274896,吉林延边州政法委书记康芳被举报到海外
n13275694,【中国观察】北京上访的陷阱
n13276053,【珍言真语】桑普：台湾十一集会 抗共挺香港
n13277025,出国打工却成偷渡客 五中国工人马来西亚受审
n13277252,伦敦10.1“抗共日”多族裔集会表心声（2）
n13277290,公民运动者被抓 罗胜春：中国人权状况急速倒车
n13278649,一月内辽宁锦州两官员自杀 他们生前干了啥
n13278502,反活摘世界峰会 张锦华：媒体应报导事实真相
n13278109,黑龙江法轮功学员刘凤云遭冤判 含冤离世
n13280381,前公安部副部长傅政华鲜为人知的罪行
n13278476,遭牡丹江监狱酷刑致死的16位法轮功学员（1）
n13281157,黑龙江高级农艺师被非法关押 曾遭冤判14年
n13282958,9月统计 101名法轮功学员被非法判刑
n13284148,十九年前发生在大庆的绑架案 三人冤死
n13283860,因信仰真善忍 广州会计师张春河面临非法庭审
n13285309,当局严控黄琦88岁老母 朋友探望被带走
n13285370,人权报告《囚禁》揭开中共黑监狱真貌
n13286678,武汉女访民被关精神病院 民众前往营救
n13286925,宁夏法轮功学员遭冤判 控告警察枉法
n13286594,内蒙古维权人士潘彤出狱 曾被持枪追杀
n13288840,冤狱11年 大连法轮功学员宋秀莲再遭骚扰离世
n13289198,厦门聚会案起诉书曝光 “颠覆罪”遭驳斥
n13289254,因护照被扣偷渡大马的五名中国工人有望返国
n13288173,傅政华任司法部长期间 已知遇害的法轮功学员
n13289570,拍湖北封锁遭恐吓 逃美者述中共一刀切防疫
n13291699,沙杨闭门会谈后 专家谈美中关系走向
n13297313,四企业再遭点名 中共“净网”1.6万人被抓
n13295023,遭牡丹江监狱酷刑致死的16位法轮功学员（2）
n13297848,中共采集法轮功学员DNA 国际社会担忧
n13297428,天津监狱管理局前局长梁清海落马 任期内涉惨案
n13300121,中共限制非公有资本参与媒体 专家析动机
n13300302,大陆网民因“寒战”“蛋炒饭”言论遭拘
n13299080,一群遭中共冤判和剥夺退休金的八旬老人
n13299770,山东临沂落马的17名政法委官员
n13301590,武汉公务员周爱琳第九次被劫入洗脑班
n13302552,广东茂名四名法轮功学员遭非法判刑
n13302296,【财商天下】鱿鱼游戏红透全球 中国上演现实版
n13304194,屡遭迫害 成都法轮功学员晏丽君含冤离世
n13302225,湖北省公检法司政府部门官员遭厄运实录（1）
n13305692,维吾尔人权活动者：中共正给全人类建造地狱
n13304688,冤判4年 七旬法轮功学员马和遭兰州监狱酷刑
n13281535,无神论者向神的宣战
n13307901,因推特获刑 逃亡80后：良知让我无法沉默
n13307921,许娜等法轮功学员案开庭 律师和家属遭严控
n13308057,从老实人到挥刀砍人 欧金中悲剧引发反响
n13308441,自称30年前被欧金中救起 男子发视频遭秒删
n13308035,前印度外交官：中共内外交困 形势不乐观（下）
n13307275,湖北省公检法司政府部门官员遭厄运实录（2）
n13310662,北京在希腊接收奥运火种彩排日 雅典爆发抗议
n13309583,不就人权问题向中共施压 国际奥委会遭质疑
n13310517,北京夫妇遭公安暴力绑架 被构陷到法院
n13311238,四川男患疾右眼失明 疑与狱中接种疫苗有关
n13310194,两陷冤狱 沈阳法轮功学员郭鸿雁被迫害离世
n13312151,河南一中学坠楼事件已十个月 家长求真相难
n13313404,蓬佩奥出席旅美港人聚会：共同抵抗中共专制
n13312513,湖北“通山县反x教协会”副会长方昌喜死亡
n13310763,法轮功学员段燕林遭非法关押 母亲痛苦离世
n13314037,“709”律师的家属亲友参选人大代表 遭中共打压
n13314929,曾入美制裁名单 工行前董事长再遭职工举报
n13314842,外媒：中共迫害法轮功高龄化频繁化 变本加厉
n13315418,梅兆赞辞世 “从毛粉变反革命”的人生历程
n13315703,报告：中共秘密机构幕后操控新疆监控系统
n13314991,法轮功学员李大尧遇害 口腔塞满胶管 牙被撬光
n13315538,圣火移交之际 人权活动人士再吁抵制北京冬奥
n13316066,中共令记者接受“继续教育” 分析：管控升级
n13316101,杀人摘器官贩卖 外媒：中国真实版鱿鱼游戏
n13315496,法轮功学员方征平被害死 妻子举报监狱责任人
n13318088,世贸审议中国贸易政策 美日澳齐向中共开火
n13318636,美前国务院官员：梵蒂冈或收取中共大量资金
n13318774,人权律师李昱函案开庭 法院阻王宇辩护
n13319465,在天津机场被警带走 重庆访民王治芬失联
n13317436,法轮功学员张俊秀遭警察暴打 七根肋骨被打断
n13320504,曾慧燕五篇大纪元专栏文章 获华文著述奖
n13317988,冤狱3年后 法轮功学员郑洪琴再被枉判六年半
n13320838,北京画家许那等11人被庭审 当局如临大敌
n13319891,苏州政法委操纵 14名法轮功学员被秘密关押
n13321668,43国联合声明 要求北京准专家入新疆调查
n13322344,选举在即 北京10名独立候选人被软禁或旅游
n13323267,NBA球星在中国遭杯葛 美国务院发声
n13323138,中共令大中小学教材融入党的领导 网民叫苦
n13323367,无惧遭审查 NBA球星继续批评中共迫害人权
n13322802,【名家专栏】宗教自由在中国是个谎言
n13324028,【中国观察】610办公室为何贪腐高发
n13324745,被劝离北京 南京吴菊芳返家后被殴打致重伤
n13322611,因坚守信仰 延吉82岁退休副教授被劫持入狱
n13324844,【一线采访】广东石化项目欠薪 包工头揭惨状
n13325194,河北遵化市多名法轮功学员被绑架
n13325102,多省政法委敲门行动 强迫法轮功学员放弃信仰
n13325824,北京维权人士国丽堃被批捕 原因不明
n13325947,蓬佩奥：勿让台湾步上香港后尘
n13326486,原中共江苏省610办公室主任陈逸中被查
n13320677,12次遭绑架 69岁法轮功学员再被非法关押
n13324915,《鱿鱼游戏》引发外界再关注中共活摘器官
n13325952,因坚守信仰 丈夫被毒打重伤离世 妻子遭骚扰
n13326454,内蒙国保刘彩军患癌 曾迫害法轮功15年
n13328207,宁波10名法轮功学员遭绑架 关洗脑班一个月
n13326109,法院拒执行胜诉房产 上海访民17年投诉无门
n13328815,前辽宁公安厅长薛恒曾大面积绑架信仰民众
n13330539,美聚焦中共宗教迫害 林晓旭披露更多内幕
n13330763,长期遭骚扰 陕西75岁法轮功学员赵秀兰离世
n13331759,女星马羚呛国家电网 被迫删文 直言无安全感
n13332149,月内2起村官被杀案 学者：反映官民关系紧张
n13332963,北京异见人士张文和五次被警方送进精神病院
n13333546,香港通过电影审查法 引发外界强烈谴责
n13333984,美零售巨头下架中国监控产品 指其迫害人权
n13334369,《玻璃心》流量攀升 居“苹果音乐香港”榜首
n13333238,遭监狱迫害致瘫 法轮功学员冀德莲含冤离世
n13333905,大连法轮功学员任海飞遭枉判10年 被抢70万
n13336488,布鲁塞尔研讨会 欧政要律师谴责中共活摘器官
n13335909,近三年 云南大理州八名公安局长落马
n13336903,王友群：江泽民是“活摘器官”杀人的罪魁祸首
n13318357,云南七旬企业家获刑24年 官方被指“打土豪”
n13338505,北京异见人士张文和被抓 妻剃发以示抗争
n13336550,累计遭枉判8年 法轮功学员周克铭被劫持入狱
n13336571,欧洲议会议员：欧议会应曝光中共活摘器官
n13338881,【新闻大家谈】菜篮子快拎不动 菜肉价还要涨？
n13338913,疫情下 中国网红为啥往上海Costco跑
n13338846,因信仰遭冤判9年 河南医生王伟被劫持入狱
n13339051,【名家专栏】中共的审查和宣传让投资者陷困境
n13340637,【一线采访】南京知名教培借“双减”跑路
n13339286,非法庭审走过场 大庆法院构陷四名法轮功学员
n13344550,上海警察无合法手续用冲击钻破门抓维权人
n13342909,四川内江市22人遭厄运 曾迫害法轮功
n13345290,【新闻大家谈】中共防疫升级 违者最高判死刑？
n13345179,冤狱15年 昆明法轮功学员王汇真遭迫害离世
n13346089,北京冬奥在即 各界呼吁释放公民记者张展
n13343377,中共治下 一群个体经营者因信仰遭打压致死
n13346290,《沉默呼声》获奥斯汀影展“观众选择奖”
n13347383,蔺其磊遭注销律师执照 曾为12港人案辩护
n13347817,长年遭迫害 黑龙江法轮功学员吴东升离世
n13348584,广州女遭非法庭审 律师指公检法实施政治迫害
n13346455,东盟峰会谈印太稳定 日本提中共人权问题
n13348475,遭绑架半年多 山东两法轮功学员被冤判7年
n13350975,彭帅指控张高丽性侵 当局广泛封杀网络
n13350772,中共新一轮监管打击 38款应用程序遭整改
n13350899,【一线采访】瑞丽抵边村民群起抗议 要生存
n13351281,一群个体经营者因信仰遭中共迫害致死（2）
n13351920,河南出台器官收费标准 外界忧助长非法移植
n13352894,88岁法轮功学员退休高工辛育良被劫入狱
n13354618,江苏访民遭警察殴打 怒喊“打倒共产党”
n13356090,签不上访保证后被关黑监狱 上海访民绝食抗议
n13355933,辽宁83岁法轮功学员洪淑云被绑架到看守所
n13356581,瑞丽清零政策下 “普通人没办法生活”
n13356929,洛城华人慨叹中共治下有多少人被精神病
n13357488,失联47天 中国独立记者黄雪琴证实遭逮捕
n13358444,代理张展案 谢阳律师长沙机场健康码转红被拦
n13359313,出冤狱前两天 法轮功学员苏云霞遭迫害致死
n13361113,关注中国人权 日相岸田任命前防长为人权官员
n13353866,前云南监狱管理局长马林至少涉命案23宗
n13361681,9至10月统计 近两千法轮功学员遭绑架骚扰
n13359869,赠送真相台历 69岁法轮功学员高兴泰遭绑架
n13363080,忧张展健康 美国务院促中共立即无条件放人
n13363684,中共严罚嘲弄“英烈”民众 被指“自我伤害”
n13362725,知情人揭法轮功学员唐梅君被害更多细节
n13365406,瘫痪老人炼法轮功后康复 却遭中共绑架下落不明
n13364762,家破人亡 江西法轮功学员付金凤再遭绑架
n13367509,【拍案惊奇】六中会习谈接班人 6.4定性受瞩目
n13367458,《偷渡犯》作者：从大逃港到三退 中国人觉醒
n13367855,“追查国际”追查中共雇凶袭击巴黎法轮功学员
n13365839,大陆教师招聘不收法轮功学员 律师：严重违法
n13320919,美弗州爱塞克斯县决议案 谴责中共活摘器官
n13369401,NBA球星坎特：台湾不会臣服于邪恶中共
n13367312,四川退休干部遭重庆女监迫害 头上烂出洞
n13365505,东营幼儿园书记迫害修炼法轮功的教师后患癌
n13369752,1至10月统计 101名法轮功学员被迫害离世
n13370209,法轮功学员刘亚芹被黑龙江女监迫害致死
n13372071,【名家专栏】中共治下 一个女性被虐待的社会
n13373457,陆公民记者张展狱中命危 哥哥申请保外就医
n13373499,为配合地方截访 北京警察随处查身份证
n13330731,中共株连政策惊现招聘公告 三代人受影响
n13374097,专家：别为了中共空洞的气候承诺忽视人权
n13374142,惠虎宇：中共掠夺财富之恶
n13374612,黄琦母亲三级心衰 争取与儿子通话交代后事
n13374324,大陆多地法轮功学员遭中共判重刑（3）
n13375550,胡平新书发布：《要得公道 打个颠倒》
n13375690,六中全会前 法轮功学员遭大面积绑架骚扰
n13375911,美弗州卢万纳县决议案 谴责中共活摘器官
n13372393,湖北省司法厅多名厅官落马 都曾迫害法轮功
n13367791,丈夫被害死 曾陷8年冤狱的妻子遭中共骚扰
n13378088,维族人权团体吁拒看冬奥 终结集中营
n13377039,幸福之家炼法轮功饱受中共迫害 历经生离死别
n13378472,【直播】打中国灭活疫苗 免疫力反而下降？
n13379557,拜习会涉诸多议题 但未提两个棘手话题
n13379860,拜登习近平就台湾未来针锋相对
n13379414,76岁王桂英等三名法轮功学员被迫害致死
n13377537,母亲遭迫害离世三年 社保局逼其子女退养老金
n13380724,NBA球星坎特再为人权发声 轰中共活摘器官
n13381304,遭当局哄骗返沪 上海访民面临流浪街头
n13379932,曾遭冤狱14年 高级农艺师王新民再被冤判
n13380687,河北弘和宾馆设黑监狱 更多内幕鲜为人知
n13381465,中共拟推网络新规 老百姓或因翻墙被治罪
n13382314,拜习会后 美将中共列入宗教自由特别关注国
n13382513,拜习会 拜登向习提出人权问题
n13383633,民生观察网创办人刘飞跃刑满出狱
n13383969,【一线采访】在柬中国人：我被卖了三家公司
n13384415,彭帅下落不明 国际网联促全面透明调查
n13381637,法轮功学员付贵华狱中猝死 更多内幕曝光
n13382182,贵州法轮功学员张廷祥遭冤判十年
n13383886,饱受监狱折磨 黑龙江法轮功学员李桂月离世
n13385048,进博会期间 上海居民被撵出城 遭严密监控
n13385815,重庆访民被非法隔离21天 肋骨被打断二节
n13386358,打黑律师李庄质疑内蒙古防疫违法 遭训诫 
n13384484,遭17年迫害 辽宁法轮功学员王香菊含冤离世
n13387151,彭帅失踪 联合国吁调查 白宫表关切
n13387238,联合国吁中共当局立即释放公民记者张展
n13387627,两次进京被当局骗回 上海访民：已忍无可忍
n13387150,分析：彭帅事件为中共带来真正挑战和窘境
n13388188,男网巨星：彭帅事件太可怕 网球界需联合应对
n13388004,胡汉姣入狱13天死亡 政法委介入 专家析因
n13388256,美议员致信秦刚 要求调查彭帅对张高丽指控
n13388226,国际奥委会运动员委员会：非常关注彭帅
n13386693,吉林省高级法院炮制秘密文件 诬判法轮功学员
n13389350,疑遭大数据迫害 上海高级工程师徐永清被抓
n13389091,曾遭枉判八年 成都法轮功学员吴春兰含冤离世
n13389524,彭帅现身不足以解疑虑 法外长：让她自己说话
n13390029,36位老外：在天安门广场上为自由而战
n13389366,生前遭酷刑虐待 北京高级技术人员吴孟华离世
n13391773,彭帅公开亮相避谈失踪缘由 胡锡进打哑谜
n13391682,中共对彭帅事件改口 进一步引发质疑
n13386352,上海法轮功学员张轶博与何冰刚遭非法批捕
n13391828,国际奥委会公布彭帅声明 专家：起了何作用
n13392399,安徽强推旱厕改造 居民厕所被拆3年无法使用
n13392869,杭州特殊儿受伤 母亲到社区开证明遭掐脖子
n13393050,七国人权官员会见许艳 继续关注余文生案
n13391122,2021年12名落马政法委书记所涉的命案
n13393412,【名家专栏】彭帅“回应”是北京惯用手法
n13391753,南昌原工程师章迎枝因信仰再遭非法关押
n13394144,张展健康恶化 欧盟要求中共立即无条件放人
n13393338,落马的湖北高院政治部主任侯旺发 冤判信仰民众
n13393861,11月多名八旬法轮功学员遭中共绑架骚扰
n13394216,多国政要呼吁保证彭帅安全 抵制北京冬奥
n13394767,分析：彭帅事件促全球正视中国人权问题
n13393100,【一线采访】维权者徐秦被抓 当局逼其夫离婚
n13395234,为营救张展 谢阳赴沪见美国领事 在机场被截
n13396084,【中国观察】寻找公民记者方斌
n13396009,欧盟将继续制裁侵犯人权的中共官员
n13396098,彭帅平安无事？欧盟要中共提供可核实独立证据
n13396462,北京冬奥遭多方抵制 张高丽曾主导筹备工作
n13397112,湖南强拆案民告官胜诉 相关责任人未受处分
n13396055,国际女网为彭帅失踪挑战中共 运动员吁施压
n13397487,病情加重无法住院 黄琦母：谁能为我做主？
n13397664,律师会见张展被拒 家属申请保外当局无回应
n13396140,残疾人严英陷冤狱 律师：侦查机关故意陷害
n13398247,南昌新力城停工 业主维权遭秋后算账
n13372716,CGTN五位美国员工为何集体辞职？
n13400313,【新闻大家谈】腾讯App暂停更新 微信也出事？
n13400275,陷冤狱四年半 高级经济师孟祥龙遭毒打吊铐
n13401007,第三次分配 中产阶级受重击
n13398532,2018-2020 成都法轮功学员遭迫害综述
n13401632,郭飞雄妻自感时日不多 呼吁中共释放丈夫
n13401496,杭州访民维权遭社区书记报复 被拘留七日
n13401756,沈四海：张高丽丑闻续炒热 两派各怀鬼胎
n13403223,伦敦唐人街华人集会酿冲突 至少一人被捕
n13404130,中共血清检测被指无人性 印尼劳工回国受阻
n13403935,【名家专栏】道德败坏的中共办冬奥会引质疑
n13404464,为中国人权发声之际 NBA球星将改姓“自由”
n13404898,出逃外科医生谈中共体制下的医疗乱象
n13404930,山东女访民就医途中遭拦截 被扒光衣服殴打
n13405464,【一线采访】保定大二学生坠楼 学生揭学校黑幕
n13400861,落马的四川西昌法院院长及法官涉众多冤案
n13404552,大陆知名律师梁小军面临被吊销律师证
n13406013,河南建监控系统 将瞄准记者和外国留学生
n13406130,香港Disney+删《辛普森家庭》敏感剧集 引担忧
n13406015,香港47名民主人士以“颠覆 ”罪名受审
n13405677,工程师栾长辉遭非法庭审 妻子为他做无罪辩护
n13406307,遭恐吓骚扰迫害 长春法轮功学员崔玉芳离世
n13406210,法轮功学员遭害致残 辽宁女监勒索20万才放人
n13406864,国际女性人权日 聆听3位中国女人的故事
n13407522,涉嫌使用新疆奴工产品 法国ZARA扩店遭禁
n13407651,黄琦母亲喊冤：中共重判黄琦意在整死他
n13407502,控告法院制造司法事故 王全璋三律师遭扣押
n13407389,中国工人在印尼被分包公司打伤 想活着回国
n13408438,昆明法轮功学员严经雄陷冤狱13年 家破人亡
n13408298,谢燕益：致国家卫健委——健康码信息公开申请书
n13408040,前大连市中级法院院长周焱涉196宗冤案
n13410980,忧彭帅安全 国际女网叫停在中国所有赛事
n13410912,引诱留学生当线人 安徽国保反被钓鱼
n13410256,历经21年苦难 佳木斯法轮功学员孔凡英离世
n13410744,南京女工程师屡遭绑架 再被构陷到法院
n13411227,骚扰威逼下法轮功学员离世 律师：立案追责
n13411533,访民被关暗室14天 拍视频外传后遭警方审讯
n13412837,WTA停办中国赛事 网民称快 北京删帖
n13401068,黎智英和《苹果日报》获“新闻自由金笔”奖
n13413329,胡锡进称WTA剥夺彭帅自由 章家敦：颠倒黑白
n13413621,美国呼吁中共 释放郭飞雄来美照顾病危妻子
n13413998,参与国产飞机项目后受迫害 中国女子在美失踪
n13413203,冤狱八年 双目失明 大连人马瑞田的悲惨故事
n13412606,江西落马政法委书记龚建华打压善良民众
n13415859,“一胎化”后余生 广东人入党、退党记　
n13416045,张展狱中命危 上千中国民众联署吁紧急救治
n13416002,奔向自由 穿越“达连隘口”的中国逃亡者
n13416485,抵制北京冬奥 20国拒签奥运休战协议
n13416667,中共称14亿人口搞民主容易搞乱 引网民嘲讽
n13415071,76岁法轮功学员遭冤判8年 其妻提诉讼将开庭
n13416672,英国逾40个团体联署反暴力 吁关注港人安全
n13417053,忧彭帅安全 美国支持WTA暂停中国赛事
n13416756,【十字路口】立陶宛率先抵制冬奥 中共3黑招反扑
n13417288,遭中共污名判4年 律师：陈云飞义行必将昭于天下
n13416813,11月份统计 至少63名法轮功学员遭冤判
n11971400,最新翻墙软件 突破封锁访问大纪元新唐人
n13419149,洛城港人9527谈支联会邹幸彤获奖
n13419516,儿被处死后才收到判决书 河北母亲：维权到底
n13417359,50斤脚镣 4年不见阳光 法轮功学员普政遇害
n13419794,因坚守信仰 86岁高级工程师李培高身陷囹圄
n13420521,白宫宣布外交抵制北京冬奥 获两党议员支持
n13420485,可疑人士向牛腾宇和王靖渝发出死亡威胁
n13421942,【十字路口】抵制冬奥 美带头外交战围堵中共？
n13422442,美外交抵制冬奥会 更令中共担心的是什么
n13421952,邻居公认的好人 法轮功学员黄云龙含冤离世
n13422595,卢比奥要求Airbnb下架新疆建设兵团出租房信息
n13422564,法轮功学员李振东死亡案 律师：监狱渎职
n13422434,一年内 辽宁锦州九名政法系统官员遭厄运
n13423170,郭飞雄妻在美病危 洛城友人吁北京放行
n13423853,在北京遭非法绑架 陕访民维权反被逮捕
n13423494,被迫中止参选 渝独立参选人驳“全过程民主”
n13424202,民主峰会拒中共 加拿大议员驳王毅“分裂说”
n13424741,苹果与中共千亿秘密协议曝光 舆论哗然
n13425146,【直播预告】普世人权与活摘器官牟利研讨会
n13424317,被中共剥夺养老金 三位耄耋老人悲苦离世
n13425410,施压北京 美众院一天通过三项中国人权法案
n13425652,抵制北京冬奥 美国众院通过决议案再施压
n13425121,山东公民李玉剃发鸣冤 幼子被关孤儿院七年
n13426290,报告：中共打压新闻自由 关押127名记者
n13426664,80万西藏学生被迫寄宿学校洗脑 含4岁儿童
n13426573,房产纠纷 上海访民赢诉讼 法院拒不执行17年
n13427550,传国际网联明年不会在中国办世界巡回赛
n13427032,国际人权日 律师吁关注受迫害的法轮功学员
n13424672,【直播预告】罗冠聪民主峰会演讲 聚焦港人抗争
n13428751,国际人权日 大陆多名人权律师及家属遭软禁
n13429457,【名家专栏】外交抵制北京冬奥？
n13429561,多名八旬老人被劫入狱 学者：中共毫无人权
n13430057,国际人权日 美驻华使馆：问责中共践踏人权
n13431218,终结“掠夺器官”运动背后的故事
n13431199,一群残疾人的苦难 人权日看中共暴政
n13432593,女访民被打断六肋骨 诉南京政府置事实不顾
n13430566,【中国观察】停发养老金官方文件背后的秘密
n13433395,洛杉矶“奶茶联盟”挺人权 抵制北京冬奥
n13433220,美国会中国委员会吁中共释放所有政治犯
n13436150,彭帅事件 调查报导指近百假推特账号洗白中共
n13436485,王藏夫妇案15日开庭 大陆律师：他们无罪
n13437261,华为机密文档自曝参与多个中共监控项目
n13437662,梁小军律师吊照听证 被指走过场
n13438139,全球176万人连署EndCCP 洛杉矶民众响应
n13436648,十年冤狱 原清华大学助教海外诉说遭遇
n13438754,《时代革命》美国热映 杨锦霞：传递对香港的爱
n13439527,微博被罚 分析师：中共嫌其审查力度不够
n13439620,普京习近平视讯通话 背后动机引发关注
n13439801,科兴疫苗对Omicron无效 专家分析影响
n13440430,DNA论文被国际期刊撤稿 9合作者为中共警察
n13440612,睡梦中遭暴力强拆 福州男子严兴声拚死抵抗
n13441478,冬奥会中共敏感期 八旬老人刚出冤狱又遭枉判
n13442278,留学生批中共 遭中国同学骚扰 普渡大学谴责
n13442164,美参众两院通过法案 限制新疆产品进口
n13442502,天津强拆受害者寻衅滋事案开庭 被指荒谬
n13442432,梁小军被吊销律师执照 文件曝中共迫害法轮功
n13442002,宁波推外地员工就地过年最高补贴500元 引讥讽
n13443420,【新闻大家谈】女教师遭网络游街 官媒煽仇日情绪
n13443965,中共雇美国网红宣传冬奥 美潜在总统候选人回应
n13443532,百姓传避疫良方遭重判 律师：匹夫无罪怀璧有罪
n13444571,中共从计生到催生 中国人口危机到来
n13445909,36国接迫害法轮功者最新名单 震慑中共
n13445382,民主人士董广平：人们通过三退认清中共本质
n13445742,台湾六千法轮功学员法会 李洪志大师发贺词
n13447379,声援上海宋庚一 怀孕女老师疑被关精神病院
n13447387,彭帅受访称微博发文被误解 引发热议
n13447530,田云：处罚梁小军律师 北京司法局何其荒谬
n13446285,【中国观察】北京冬奥会的“维稳”秘密
n13449120,布林肯任命国务次卿泽亚为西藏问题协调员
n13449138,上海公安局招标 雇用企业操纵脸书和推特账号
n13449072,德国华裔在陆企业面临清算 开庭次日遭绑架
n13449451,美国宣布制裁五名香港中联办副主任
n13448903,西安疫情升级 学校全面停课出城公路被封
n13450462,维权律师唐吉田失踪多日 女儿在日本病危
n13451036,山东访民控告法官抢夺财产 遭关押近10个月
n13451284,美国任命西藏问题特别协调员 中共恼怒
n13450719,迫害法轮功者厄运相随 专家：体现善恶有报
n13451524,美国务院：关注周德勇邓翠萍 望和中共交涉
n13454041,中共外交官向脸书要一个解释 遭网酸
n13456144,山东法轮功学员张万侠受酷刑折磨 坚守信仰
n13456180,英特尔向中国客户道歉 为何外企谨言慎行
n13453400,法轮功学员告监狱施酷刑 律师：维护合法权益
n13455660,冤案十年未解 河北女访民剃发抗议司法腐败
n13459361,声援李田田 发起人及联署者多人被约谈
n13459406,李田田被转至永顺县医院 网民探望被拦
n13461235,美航班折返后逾百华人被困 内部人士揭真相
n13462482,【中国观察】中共“网格化”维稳运动黑幕
n13463912,田云：李田田事件与“被精神病”迫害黑幕
n13459414,隐蔽的法外机构“610” 专家吁国际制裁（上）
n13464903,偷拍已成中国黑色产业 分工细化无所不在
n13465411,美国会中国委员会呼吁停止迫害法轮功
n13466166,房屋被强拆十五年没解决 上海青年愤而跳楼
n13462906,隐蔽的法外机构610 专家吁国际制裁（下）
n13467302,德外长不参加北京冬奥 吁欧盟禁止奴工产品
n13467178,北京冬奥前疫情恶化 中共执意清零苦了百姓
n13467966,海外港人谴责中共对香港新闻自由“死亡威胁”
n13467964,已退休多年 旅美人大副教授周孝正被开除
n13468261,美涉疆法律尚未实施 山姆店即遭小粉红抵制
n13469887,新世纪影视大法弟子诗朗诵：新年颂师恩
n13470109,美律所评估 涉疆法案影响近1200亿中国货出口
n13470340,陈光诚：任何民主国家都不应参加北京冬奥会
n13470567,感谢世界各地观众 新世纪寄语新年祝福
n13470868,中共冬奥前严控民众 法轮功再成打压目标
n13472655,中国“童话大王”被迫搁笔：维权需335年
n13472571,黄琦89岁母亲癌症晚期 家中摔倒住院
n13473152,中纪委敲打山姆会员店 背后意思是什么
n13474645,新年前 福州维权人士严兴声民宅被暴力强拆
n13474900,全球退党服务中心2022年新年贺词
n13479680,中共对全民迫害机制 专家分析成因
n13478838,八旬老人被害死 律师：大连监狱是第一责任人
