n12913851,业务员代刷7.79亿元保费 南山人寿遭重罚
n13501182,纪念蒋经国 台退辅会：他对台湾有6大功劳
n13501946,退辅会：蒋经国反共保台 国民党应省思
n13502115,联邦银行确诊数增 陈时中：该案现在是“重中之重”
n13502119,台股基本面佳 黄天牧：今年荣景可期
n13502124,146.15万剂AZ抵台 效期至今年5月底
n13502192,贸协规划下半年赴美与东南亚 举办台湾形象展
n13502252,今明将是旅客入境高峰 指挥中心：近几天边境压力大
n13502324,台政院通过精卫法修法 成立全国精神照护指挥中心
n13502327,声请或裁定羁押不应考虑收容量能 监院吁矫正署检讨
n13502319,宜兰县府疑涉土地开发弊案 林姿妙及局处首长遭约谈
n13502322,涉诈助理费逾335万 王淑慧喊冤仍遭判刑9年
n13502453,疫情影响延宕两年 大专校长会议13日登场
n13502450,台政院通过暂行条例 厘清寺庙产权
n13502458,退场条例拟让校产归私 台教团持不同意见
n13502461,教师聘任、校安机制失灵 监院纠正国北教大
n13502448,影响教学和研究品质 国立大学盼调涨学杂费
n13502443,农渔畜产品冷链建置 明年底前完成
n13502445,每4分20秒就有1人罹癌 癌症时钟快转11秒
n13501941,台证交所：去年台股市值破62.1兆 首度超过韩国
n13501944,探视失联飞官家属 蔡英文指示加快搜救
n13502065,蓝缺席公听会 绿忧修宪无法成案
n13502098,台建商购地贷款动工期限 最多18个月
n13502127,世界反禁药组织吁北京 确保运动员远离瘦肉精
n13502178,陆委会：台商回流投资金额逾兆元
n13502113,台护理师打第3剂 下午现症状 隔日确诊
n13502106,台禁电子烟加味烟  贩售最高罚5千万
n13502189,国泰金控：期待Fed升息 台湾升息幅度较美国低
n13502243,马、朱赴蒋经国陵寝致意 王浩宇提醒：蒋经国反共
n13502245,银行开户确认身份成破口？ 台金管会研议替代方案
n13502317,台政院修促转条例 威权时期没收财产返回死亡赔1200万
n13502110,台积电上调资本支出 较去年大增逾33%
n13502315,亲共港媒指台学者违国安法 陆委会：乱扣帽子
n13502555,【拍案惊奇】百度“解禁”习敏感词
n13504005,联邦银行、餐厅8人确诊 召回百名顾客采检隔离
n13503957,布雷中队成军 蔡英文：让世界看见护台决心
n13502791,丹麦前总理投书 呼吁欧美支持台湾与立陶宛
n13504479,台湾中选会通过 九合一选举11/26投票
n13504740,科技业抢人 台积电联发科估共征万人
n13504742,台劳保破产年限延至2028年 潜藏负债破11兆
n13504517,台湾反避税CFC制度 苏建荣：拟2023年元旦上路
n13504602,染疫厨师9日曾到南寮 渔港、市集停业三天
n13504651,台中选会：九合一大选11月26日投票
n13504624,快速布雷艇成军 台海军不对称战力跃进
n13504670,台修宪进度卡关 高中生吁停止政党恶斗
n13504673,台公费疫苗预约平台重启 预约采三阶段分流
n13504712,台今起轻症不送医 改送加强版防疫旅馆
n13504709,六航班29人确诊 王必胜：长程航班落地采检阳性率7.59％
n13504707,尾牙取消、口罩戴全天  台科技厂防疫升级
n13504736,台西堤用餐 1、3岁童确诊
n13504777,过年第二波114列加班车 台铁19日开卖
n13504775,台金管会主题式监理沙盒试办 瞄准金融身份验证需求
n13504829,数位活化党史文物 国民党推蒋中正指挥刀NFT
n13504808,林姿妙涉贪列被告 蓝控政治追杀
n13504810,过年用水比平日多83万吨 台水吁提前大扫除
n13504815,台教部补助7成调薪 66所私立科大冻涨学杂费
n13504817,无障碍校园补助 立委：应审核使用经验
n13504805,薪资期待落差大 调查：9成上班族不满意薪资
n13504803,驻加代表处组长将离任 盼加国挺台入CPTPP
n13504801,国图与大英图书馆签合作备忘录 搭建学研平台
n13504796,苹果买家称没中资 经民连：政府需提高警觉
n13504943,F-16V坠海 寻获生理组织验DNA为飞行官陈奕
n13504812,宜县府涉4弊案30人遭约谈 林姿妙请回、2官员羁押
n13504835,台政院党团协商 日本食品或加速解禁
n13504640,法媒专访吴钊燮：台湾决心抵御中共严峻威胁
n13504931,台湾设基金 欧盟拟出手 抗衡中共制裁立陶宛
n13505229,加台启动FIPA 专家：加国印太战略关键步骤
n13505689,王赫：中共怎么盘算对台战争？
n13506301,西堤群聚增6例 3顾客、工读生表妹及2同学确诊
n13505970,立陶宛外长吁欧盟同抗中共 持续深化台湾关系
n13506375,组图：台湾最早开满樱花的秘境 南投水里
n13507046,英史学家：疫情冲击远大于预测 台防疫可借鉴
n13507022,报导台湾遭中共抗议 印度主播：不听命任何政府
n13507350,美日正磋商储存军火 以应对台海等突发事件
n13507384,【菁英论坛】传攻台和连任遭质疑 习军中遇挑战
n13508134,台湾今天新增10例本土41例境外移入
n13508436,台湾东部海域地震 福建多地震感强烈
n13508433,东加火山喷发引发海啸？ 郑明典：台湾几乎无感
n13508212,【疫情1.16】上诉失败 德约科维奇被驱逐出境
n13508430,研析共军武统模式 台专家：以美军为师
n13508501,解决台飞行员人力荒 张延廷吁招募退役飞官
n13508507,打炒房效果有限？ 台专家：囤房税推动应有配套
n13508498,台专家：中共藉港《国安法》 打压学术自由
n13508611,金控居家办公 陈时中：超前准备不反对、对民众服务不要停
n13508608,疫情下机组员、医护“压力大” 陈时中：互相加油打气
n13508594,台本土＋10   西堤内用顾客再增 6人确诊
n13508577,东加海啸引环太国家警戒 我太平洋4友邦使馆平安
n13508660,遏止酒驾 台法务部：67人不准易科罚金而坐牢
n13508708,17日锋面通过 北台湾转凉有雨
n13508713,上国道未系安全带 去年酿20人死亡
n13508719,前共军参谋：中共攻台代价巨大 没胜算
n13508706,婴幼儿阅读政策欠整合 台监院盼两部会改善
n13508767,游锡堃：以大博物馆为蓝图 活化民主议政园区
n13508703,蓝营为福岛食品内哄？ 绿委：怎么做尊重他们
n13508372,中共以战逼统 台退将：建立全民心防刻不容缓
n13507425,台北法轮功学员向李洪志大师拜年 谢师恩
n13510123,美经济学者：中共清零政策加剧供应链中断
n13510170,台湾今天新增17例本土确诊 14例为西堤群聚
n13510183,陆船越界拒检逃逸 遭台湾澎湖巡防艇扣押
n13510452,【疫情1.17】东京疫情严峻 拟进入准紧急状态
n13510353,台塑工会争取加码红包未成 王文渊：2022变数多
n13510704,台增184家 无薪假逼近2千家
n13510804,台8大公股银行 下周可换新钞
n13510799,事业移工去年平均月薪约3万
n13510727,台积电启动分组上班 取消北部厂尾牙等群聚活动
n13510886,国民党有几种蓝？徐巧芯来分析
n13510881,林静仪宣誓就职 民进党立委增为61席
n13510878,地制法拼本周初审 时力吁勿仓促立法
n13510876,若修宪复决绑年底选举 立委：22日前要完成初审
n13510813,大学学测周五登场 教育部祭七大防疫规定
n13510618,竹市警察局长交接 新任局长郭士杰宣誓就职
n13510810,铁研中心完工 交长：盼带动铁道国产化发展
n13510871,国民党团：民进党若开放“核食”不排除抗争
n13510866,中共网军产业链化 陈子瑜：年底选举恐爆韩流
n13510869,台原民身份依姓氏决定恐违宪 宪法法庭首开庭辩论
n13510801,核心技术防窃拟修法 台政院：审查中未定案
n13510768,高中免试入学名额20.7万 创9年新低
n13510765,台积股价创高 市值全球第八
n13510697,全台人口减少逾22万人 专家：房价依旧涨翻天
n13511022,涉拿中资替韩国瑜拉票 5台商遭判刑
n13510647,西堤餐厅相关个案＋14 陈时中：一定有未爆弹
n13510702,将来银行与存保签约 拼Q1开业掀纯网银大战
n13511019,总预算待协商 游锡堃：表决要耗200小时
n13510722,监委查云林张家农地开发案 蓝批绿伤害台湾民主
n13511015,北市公布餐饮业5措施 5校视情况通知停课
n13510724,台落地采检轻症分流 放宽20至49岁
n13511013,F-16V飞官坠海 检开立死亡证明
n13511093,英国史学家：中共2023年将加强对台军事施压
n13510818,台警署大扫黑 逮三千余帮派分子 清剿竹联帮
n13511811,台驻加外交官离任 透露台加关系升温缘由
n13512116,斯洛维尼亚总理：与台湾洽谈互设代表处
n13509993,台湾今天新增17例本土确诊49例境外移入
n13512600,立陶宛百年啤酒厂遭中共砍单 台湾人买爆支持
n13512940,18岁公民权完成初审 将送立院院会表决
n13513031,台将来银行拼2年百万户 4年损益两平
n13513087,双北推动疫苗通行证 专家：恐造成假性安全感
n13513118,四大会计师事务所祭出加薪抢才 平均最高调薪10%
n13513082,上市柜去年在东盟赚3千亿 关键在海运三雄
n13513085,旅客落地采检范围扩大 陈时中：将纳入南亚、东南亚
n13513090,台湾灯会受疫情影响？ 王国材：目前如期举办
n13513143,台国发会建物价预警机制 3月提零碳排路径图
n13513102,勤业众信估今年IPO上看60家
n13512818,高科技人才频遭中共挖角 台拟设经济间谍法
n13513175,台金管会揪出炒房手法 投资客组团勾结代书
n13513165,林姿妙控政治追杀 宜检：缜密搜证依法严办
n13513076,民团促朝野放下成见 勿错过宪改时刻重演破局
n13513100,提升用药安全 健保署推重复用药主动示警 3.7万人受惠
n13512841,【疫情1.18】澳洲染疫死亡人数创单日新高
n13513229,学生通勤需求增 台大系统3校拟打造通学单车道
n13513226,基隆捷运、高铁延伸宜兰案 年后启动环评
n13513218,推台铁改革 交长鼓励重赏重罚
n13513216,核二厂辐射警报响 原能会：仪器故障
n13513221,环署、工研院研发回收技术 萃取锂电池高价金属
n13513281,王清霜、李敏勇、吕绍嘉 荣获行政院文化奖
n13513213,监委查张丽善胞弟 朱立伦：要避免选择性办案
n13513274,台落地采检扩大 纳南亚、东南亚
n13513272,台经济部禁中国冷冻释迦进口
n13513288,斯洛维尼亚总理证实 拟与台互设代表处
n13513277,Omicron 传播力强 陈时中：力求清零但要做“与病毒共存”准备
n13513322,电商助攻 PChome东南亚销售额成长逾5倍
n13513409,每年逾300万件讼案 台司法院研议防杜滥诉
n13513397,遭赌客指控诈骗 警破博奕网站在台据点
n13513389,小额募资挺港店 启动“搭台”计划
n13513395,涉侵占、背信 币托科技负责人50万交保
n13513079,制定日版台湾关系法 日本前副大臣：时机成熟
n13513232,大陆称台湾石斑含禁药 台彻查石斑鱼场皆合格
n13513579,应对中共假讯息 台国防部军事新闻处扩编
n13515016,台湾增10例本土个案 其中8例与桃机衍生有关
n13514726,赖清德任特使出访洪都拉斯 可望与贺锦丽同台
n13515289,蒋经国在台唯一保存故居七海寓所掀神秘面纱
n13515670,全球半导体产值 估连3年双位数成长
n13515665,Omicron传播力强 学者提双疫调分层分流政策
n13515663,印度、东南亚航班落地采检 即起实施
n13515659,不满中国施压 爱沙尼亚外长声援立陶宛
n13515548,防疫优先 朱立伦：国民党尾牙取消
n13515550,赖清德出访宏都拉斯 蔡英文交付3任务
n13515595,美商会乐观看台今年景气 高度关切供电问题
n13515593,台司法院通过法律人合考合训草案 将送立院审议
n13515580,法人：货柜三雄遭南韩罚款 对获利影响轻微
n13515583,台商涉贿国台办批栽赃 台陆委会：暴露中共对法治的无知
n13515677,台证券业办外币贷款 程序简化
n13515653,台本土＋10 罗一钧：已有六个传染链
n13515633,潜舰国造爆料不断 台船︰损害信誉依法提告
n13515739,近十年来首家 NCC许可镜电视新闻台申设
n13515748,盗刷猖獗 台金管会：网购刷三千就通知
n13515760,欧议会41议员致函欧盟 台外交：挺立陶宛抗中胁迫
n13515650,台立院审地制法 朝野协商同意临时会不处理
n13515642,台湾与比利时佛拉蒙区签合作备忘 台外交部：友好新篇章
n13515758,飞安疑虑排除 长荣飞美航班恢复正常
n13515755,台中冷链工程动土 陈吉仲：有利于大量外销
n13515746,避免群聚 蔡英文、赖清德过年不发红包福袋
n13515743,打不到疫苗？庄人祥：下周一将有莫德纳抵台
n13515667,台湾替瓜地马拉支付2500万游说费 马英九：我任内没这种事
n13515721,中共拒收立陶宛兰姆酒 台酒购入抵台1月底上市
n13515732,纯网银LINE Bank宣布客户数突破80万户
n13515724,观塘工作船搁浅2年后 中油提因应对策过初审
n13515727,小蒋民主路 1949年之前经历影响大
n13515925,接轨CPTPP 台政院提两修法护智财权
n13515932,柜买市场去年创4项历史纪录 今年盼稳定发展
n13515735,去年房市台南价量表现最强 房仲估今年仍将南强于北
n13516305,看好台积电 谢金河：台湾供应链将壮大
n13517462,台湾疫情扩至高雄 国内已累计4条待厘清传播链
n13517699,蒋经国一生反共 资料库上线开放5万5千笔史料
n13518117,104调查：4成5企业尾牙受Omicron影响
n13518122,疫情影响跨国移动 台湾去年侨外投资金额下滑
n13518119,台帛旅游泡泡恐生变 陈时中：入境需住集检所5天
n13517826,坠海停飞特检 F-16V战机全面复飞
n13517936,全球首家 联发科展示最新Wi-Fi 7技术
n13517980,台国内疫苗护照启用  八大行业消费须打两剂
n13517973,台修宪委员会续审 废考监等案无共识暂保留
n13517970,尼国中止FTA冲击台商 财部：研拟替代措施
n13518079,台帛旅游泡泡生变？台外交部：将滚动式检讨
n13518125,儿童未用安全配备 交通事故死亡增2倍
n13518183,立委申告涉伪造文书 坤舆：指控已二度侦查终结
n13518081,证券型虚拟通货发行 台金管会放宽
n13518115,台铁与太鲁阁号罹难家属 共提民事诉讼
n13518112,去年猪邮包增1.8倍 立委吁重点宣导
n13518109,12月外销订单冲上679亿美元 改写历史单月新高
n13518106,联亚药停牌 预告年中申请股票上市
n13518104,学校寒辅是否停办 台教部：尊重县市政府
n13518102,赖清德过境美国 将与美政要视讯会议
n13518098,国泰金：24%民众估房价未来半年涨逾10%
n13518096,中央调度907亿给地方 公务机关22日发年终
n13518091,本土+13 陈时中：四传播链列调查重点
n13518094,北市订公厕条例 卫生纸为标配
n13518085,疫情烧进高雄 20日新增3例本土确诊
n13518178,登上三报头版加权4分 民团吁中央成立警察绩效委员会
n13518088,打房影响推案意愿 北台湾去年新案减8%
n13518271,盗版电影致百万损失 台拟改列为公诉罪
n13518174,驳柯P“科技走在法律前”说 人权委员：不能牺牲任何人
n13518172,中共批斯洛维尼亚违反一中 陆委会：中共无权置喙
n13518338,宁死不屈 一江山战役67周年 台国史馆缅怀先烈
n13518525,杨萨转发台学者推文 认同“台斯是好伙伴”
n13518956,美寻求加速向台湾交付F-16新型战机的方法
n13518984,【财商天下】“世界工厂”迁移 台商投资领跑
n13519123,民调：大多数美国人支持美军协防台湾
n13519684,赖清德过境美国 AIT主席将在加州接机
n13519958,台湾增23例本土确诊 与高雄相关个案达10例
n13520088,涉拿中资替中共干预总统选举 5名台商被判刑
n13519957,台支持欧议会挺港议案 谴责中共胁迫立陶宛
n13520574,本土爆增23例今年最多 高雄相关个案达10例
n13520570,庄丰嘉辞华视总经理 新闻台长陈雅琳暂代
n13520568,染Omicron不是都轻症 两人“中重度”有肺炎
n13520632,碳盘查疑量能或不足 碳权学者吁台湾优先
n13520634,大学学测 数学A偏难 自然多跨科试题
n13520637,学测首日 21名考生隔离应试
n13520644,过年国5车多 高公局吁搭乘公共运输
n13520822,屏东灯节21日盛大点灯 打造光之盛宴
n13520420,美日高官：两国同盟协调应对中共在台海挑战
n13520254,外媒：台肯德基、必胜客可能换老板
n13520283,资策会：疫情加速行动支付 常用度有机会超越现金
n13520383,空军人力不足 前副司令：应成立后备飞行大队
n13520409,台立院初审酒驾最重判3年 肇事并科罚金最高300万
n13520402,蔡英文视导空军七联队 F-5新弹射椅亮相
n13520407,台政院紧盯物价上涨 苏贞昌：勿哄抬物价以身试法
n13520444,欧议会通过撑港挺立紧急决议 台外交部乐见
n13520472,台坠毁F-16黑盒子寻获 家属同意终止打捞
n13520470,台数位存款户冲破千万 LINE Bank排名第五
n13520474,台立院将挑灯夜战 拼24日总预算三读
n13520476,台金管会盯比特币ATM洗钱防制 违者罚千万
n13520534,台公平会估3月底前发布“数位经济竞争政策白皮书”
n13520532,贸联成功收购德商LEONI IN 将正式认列收益
n13520658,违规猪肉邮包年增170% 陈吉仲：中越泰港澳存高风险
n13520649,纸烟、电子烟并用 确诊中共肺炎风险增7倍
n13520640,第3剂逾7成打莫德纳 医师建议依个人需求选择
n13520562,因感情纠纷纵火点燃城中城大楼 犯嫌依杀人罪起诉
n13520479,论坛遭中共入侵 台查获400脸书账号转假讯息
n13520572,进中国口罩假冒台湾造 台加利老板被判5个月
n13520962,促转会要七海园区改名 蔡英文盼“团结台湾、化解分歧”
n13521784,郑文灿：亚旭电脑70人确诊
n13522040,亚旭电脑群聚 王必胜：30家工厂停工
n13522079,桃园公布9处确诊足迹 曾赴教会、菜市场和卖场
n13522018,台湾骤增82例本土 含高雄港14例 桃园亚旭64例
n13522177,扩大防疫 王国材：陆海空公共运具内23日起禁饮食
n13522295,蔡英文：蒋经国坚决反共 保台立场是人民最大共识
n13523034,惠虎宇：台湾自古以来是中国的一部分吗？
n13523722,台湾本土增52例 高雄港15例、桃园亚旭30例
n13524187,与台互设代表处 斯洛维尼亚企业遭砍单？
n13524077,台本土新增52例  远雄自贸港区累计百人染疫
n13524115,台股本周封关 面临季线保卫战
n13524112,澳英2+2会谈挺台 台外交部：民主国家共识
n13524152,首批默沙东口服药今抵台？ 指挥中心：到了就会知道
n13524150,Omicron传播快但多轻症 苏贞昌：戒慎不必恐惧
n13524148,南港房仲快筛阳性通知全家 陈时中：有助于控制疫情
n13524208,房市续热 12月新承做房贷830亿元爆出6年来最大量
n13524229,谢志坚：看好东南亚货量增加趋势
n13524238,礁溪长荣凤凰员工确诊 扩大筛检千人
n13524235,亚旭确诊延烧 郑文灿：港区停工3采阴才复工
n13523473,【时事军事】台海周围F-35数量惊人 中共岂敢妄动
n13524273,乌克兰情势危急 王定宇：保护台湾靠自己
n13524270,餐厅内用如何避免遭感染？ 台医提六步骤防范
n13524267,台北市现不明感染源 柯文哲：看不出从哪感染
n13524264,黑鹰失事涉人为疏失 空军天气中心主任判休职2年
n13524262,移工住集检所随意走动、唱歌？台指挥中心：剪辑过的影片
n13524308,台湾北部24日转凉 28日至初一各地有雨
n13524306,EMU3000遭疑赶上路 台铁：验证安全才上线
n13524301,国图携手史丹佛、牛津 数位化中文古籍逾3万幅
n13524298,蔡英文肯定蒋经国反共 媒体人：蓝营染红还剩什么
n13524293,大学学测数B中偏易 全教会：跨科整合是趋势
n13524291,台学测落幕 3月1日公布成绩及各科五标
n13524006,【疫情1.23】东京连3天日增逾9千例确诊
n13524241,国防专家：政要赴中移植器官 会成中共威胁把柄
n13524526,台海局势升级 中共军机大规模扰台
n13520381,北京施压立陶宛 德国外长：中共勒索欧洲
n13525062,美退役上将：北京犯台 美可经济制裁 助台自卫
n13525304,中共海军在西太平洋扩张 加剧台海紧张局势
n13525633,吴钊燮：国际应对中共扩张野心保持高度警觉
n13525808,印度学者：北京不会轻举妄动 因攻台代价巨大
n13525643,【疫情1.24】世卫：Omicron或结束欧洲疫情
n13526102,首批2016人份默沙东口服抗病毒药物抵台
n13526211,本土新增15例 年假期间 维持二级警戒
n13526171,教职员疫苗接种情况 下学期每月查核1次
n13526175,强化国会外交 立院成立台欧议会友好协会
n13526105,台餐饮业去年12月回温 Omicron仍是关键变数
n13526153,台钰创：半导体进入兆元世代
n13526173,云端发票第二波抽奖名单出炉 最大奖电动机车
n13526156,北市过年加开3天BNT疫苗接种 急诊PCR检测不打烊
n13526166,连23红 去年12月制造业生产指数创单月新高
n13526164,无薪假人数较上期增近2千人 逾半数为旅行社
n13526277,瓦斯罐成隐形杀手 台环署：回收做好4步骤
n13526255,台8成预售屋不符规定
n13526162,子公司鸿佰员工染疫 鸿海明起加强4大防疫措施
n13526264,台民团吁比照外师 核发代理教师考核奖金
n13526259,台禁非法繁殖幼犬 立委吁总量管制
n13526257,未符合劳检规范 三外送平台各罚6万
n13526199,辜宽敏捐地做绿能 台电：估年发电400万度
n13526328,台央行：美股震荡 不影响民众经济信心
n13526253,以艰涩数学来筛选学生 全教会：将揠苗助长
n13526242,俄乌紧张冲击台？ 美航舰集结防中冒进
n13526275,泰移工念家乡味 女友寄香肠验出非洲猪瘟
n13526245,政党与大学合办活动 台教部500万预算遭删
n13526250,专家警告龟山岛若喷发 海啸冲击宜兰、苏澳
n13526377,蓝智库公听会：不反宪改 不认同程序不正义
n13526273,228连假台铁车票 28日开卖
n13526270,迪化街饼店贮存逾期原料 开罚30万元
n13526268,台警署加强新年连假维安 可申请护钞巡逻箱
n13526444,台酒驾罚责加重 乘客连坐最重罚1.5万
n13526247,立陶宛兰姆酒卖价被嫌贵 台酒：星港欧盟更贵
n13526461,中共军机进一步扰台 美两航母战斗群入南海
n13526613,【微视频】蔡英文尊崇蒋经国 不与任何共党妥协
n13527078,【秦鹏直播】蔡英文赞蒋经国反共保台 引发热议
n13527874,你中奖了吗？110年11-12月统一发票兑奖资讯
n13527988,赖清德出访参加洪都拉斯总统就职  将过境美国
n13527806,批国民党唱和中共 苏贞昌：蒋经国会气死
n13528183,国际疫情冲击 蔡英文：企业助台经济稳定成长
n13528218,无省籍对立、在野党成立 辜寛敏：蒋经国贡献大
n13528244,歼16D首扰台 专家：应强化电子反制作战能力
n13528372,Fed恐加快升息步调 台经院：央行最快6月升息
n13528308,赖清德过境美国 台外交部：安排与美政要侨界视讯互动
n13528339,立陶宛兰姆酒来台贵4倍？矢板明夫曝3种可能
n13528302,兰姆酒之乱 台湾基进：背后恐是中共网路战
n13528406,利用俄乌紧张攻台？立委：最终倒楣的定是中共
n13527953,【疫情1.25】美国疫情持续 死亡人数居高不下
n13528246,地方议员六成涉弊 公督盟吁公开财产申报资料
n13528336,国民党驻美代表处落脚华府中心 待朱立伦赴美揭牌
n13528366,台积电设新厂 传锁定云林、嘉义
n13528446,马拉松协商总预算 游锡堃：对各党团表达敬佩
n13528513,经部：确保半导体供电稳定 扶植零组件国产化
n13528524,台军校生寒训照常 未打2剂者每周快筛
n13528530,本土＋13  陈时中：极力疫调防堵疫情
n13528522,巴拉圭主动在WHO执委会为台发声 外交部表达诚挚感谢
n13528511,个人信用评分资料直传P2P业者 最快Q2上路
n13528528,公费疫苗预约平台 今起分三阶段预约
n13528625,过年避车潮可走11条替代道路
n13528621,分科测验级距计算 家长团体吁维持1%
n13528619,移工失能补助逾4千万未领 监委：损台湾形象
n13528683,台交部增编60亿预算 海空纾困延长半年
n13528685,台过年离岛疏运 国军派3架C-130运输机待命
n13528687,NGO控台售濒危鲨鱼 渔业署：有贩售皆合法
n13528690,台湾民众赴柬埔寨工作却沦诈骗
n13528680,台离岛房市热 澎湖住宅飙天价
n13528667,台美廉社携手7-11 迎战全联全家
n13528671,历史新高 去年12月房贷余额破8.8兆
n13528664,林秉枢施暴高嘉瑜 检依8罪起诉求重刑
n13528623,台3大诈骗手法 假投资最常见
n13527668,台德双边贸易去年创新高 首破200亿美元
n13528840,台湾不派官员出席冬奥 吁北京勿政治干预赛事
n13529019,议员预测中共奥运后攻台 专家：美军应未雨绸缪
n13529661,赖清德过境洛杉矶 AIT主席迎接 侨胞欢迎
n13529728,吴钊燮波兰博物馆致词 强调捍卫自由人权价值
n13525537,台湾新增46例本土确诊 远雄自贸园区增14人
n13530034,赖清德过境洛杉矶 与美国会17议员视讯会谈
n13530409,台股牛年封关添变数 苏建荣：国安基金紧盯市况
n13530566,日议员主张派高官赴台 岸田重申努力深化合作
n13530647,年前开放福岛食品？ 苏贞昌：国人健康优先
n13530793,企业逾7成偏好实体办公 上班族最爱混合式工作
n13530798,科技部长：2022年是台湾“太空发展元年”
n13530803,过年鸡蛋缺货？ 陈吉仲：积极调度补足
n13530808,赖清德抵洛杉矶 与美政要视讯会晤
n13530823,台去年酒驾致死达290人 王国材：盼重罚降低伤害
n13530815,体育署证实 北京冬奥不派官方代表出席
n13530936,10年涉诈助理费千余万 高市议长遭起诉
n13530938,超取付款诈骗案频传 消保官协调四大超商助退款
n13530940,加入帮派诈骗牟利 警逮明仁会诈团12人
n13530932,孙安佐涉枪炮案 士院认无审判权谕知公诉不受理
n13530820,立陶宛要求改台湾驻馆名？外交部驳非事实
n13530764,立陶宛外长：没有改变台湾代表处名称意图
n13530669,台股封关小跌26点 近6年封关日首次收黑
n13530702,台央行修正外币收兑管理 限额降至三千美元
n13530717,防国会因疫情停摆 台立委吁完善远距会议系统
n13530713,台公卫学者：若要重症清零 每周350例以下可达标
n13530705,台指挥中心拟讨论打第4剂
n13530710,台多起群聚感染源不明 陈时中：持续疫调查追查
n13530708,禁止内用？陈时中：暂不考虑
n13530749,台半导体用电量 达双位数成长
n13530840,台湾首度樱花预报 2月中下旬为最佳赏花期
n13530837,台北市烧烤店、牛排馆 2月起纳餐饮空污管制
n13530834,台铁携手5高中职 培育铁道专业人才
n13530934,蔡“尊蒋”“反共”修复族群对立 矢板明夫：有助提升台湾国际影响力
n13530930,蒋经国路线？蔡称“反共”蓝红同声“反独”陆委会：重点在保台
n13530818,饼干油品存致癌风险 台食药署订限量标准
n13531289,分析：从法律到实战 美为升级南海防御做准备
n13532707,中共“清零”牵动世界经济 多国重建供应链
n13532787,英相强调台海稳定 台外交部：共同维护印太和平
n13533125,新总统卡斯楚会赖清德 盼深化洪台邦谊
n13533314,中共VS纳粹奥运会 专家：种族灭绝正发生
n13533612,景气灯号连2月黄红灯 台国发会：景气稳健
n13533706,台解鸡蛋荒 2月中自国外进口
n13533729,买房只求便宜 房仲：应要考量成长性
n13533693,过年疏运 国道每日0至5时不收费
n13533709,台工研院开发监测系统 管控味精制程
n13533698,13年死9只 台环团吁正视白海豚保育危机
n13533695,中州科大涉人口贩运 前主任收押
n13533701,冲锋斗士变和蔼教授 张清溪妻：法轮大法改变他
n13533678,营养师：年节饮食控制好 龙骧又虎跃
n13533683,友邦在WHO执委会接力挺台发言
n13533722,追思张清溪教授 蔡英文亲临吊唁致意
n13533312,吴钊燮：国际关心台海和平能最有力吓阻中共
n13533925,树林镇南宫灯会点灯仪式取消 花灯仍展出
n13533621,台2021年经济成长率6.28% 创11年新高
n13533686,史上第一份 台发布“海外台商经营投资报告”
n13534154,多家冬奥赞助商极力低调 避开和北京的关系
n13534372,洪都拉斯首位女总统就职 贺锦丽赖清德出席
n13533551,不通令一律禁内用 苏贞昌：须严格落实实联制
n13533471,财政部台新金释股协调 金管会予以尊重但不涉入
n13533556,台本土增21例   疫情南北延烧
n13533546,辉瑞口服药物抵台 亚洲首个同时具备两款药物
n13533619,台金管会提4疑虑 否决国票金并安泰银
n13533609,联电窃取美光营业秘密案 二审改轻判
n13533607,英相强生强调台海稳定 台外交部：与英共护印太和平
n13533714,雷射光+奈米颗粒 阳明交大让重金属检测更便利
n13533690,太阳花事件国赔案二审 北市警局需多赔29余万
n13533868,侨委会侨台商动态报告 专家：东南亚经济活力可望复苏
n13533878,忧北京冬奥台代表队遭矮化 陆委会吁陆不以政治干扰赛事
n13533549,何韵诗遭泼漆案 台统促党主委被判3个月
n13534208,专家：中共合并三稀土集团 对战略供应影响有限
n13531468,楚一丁：台海两岸的昨日今日和明日
n13535120,罕见会面 贺锦丽和赖清德在洪都拉斯简短交谈
n13535221,曾想与台断交 卡斯楚见赖清德泛泪 感谢台湾
n13535481,除旧迎新 全台垃圾及大型废弃物清运一次看懂
n13536135,桃机前进指挥所解编
n13536139,台本土+27 宜兰礁溪群聚再增4例
n13536149,年节将至 鸡蛋短缺 农委会每日调度90万颗蛋
n13536177,过年期间居检违规 台内政部：加重裁罚
n13536154,台初二、初三订房率较高 宜花东近8成
n13536175,台金管会开放保险业3管道 投资6大核心战略产业
n13536173,台5机场3港口赴离岛 重启快筛政策
n13536159,宗教场所过年防疫 人流管制、禁饮食
n13536164,除夕低温探12℃ 初一气温稍回升
n13536145,集中检疫所台湾民众优先 境外生改住防疫旅馆
n13536169,印尼三少女将遣返 台内政部助寻解决机制
n13536167,期货保证金过年休市期间上调10% 台金管会：留意风险部位
n13536157,台湾首部国际公约独立评估意见书 关注女性权益
n13536142,台航运三雄年终新高 万海、阳明10至16个月
n13536152,统一发票11-12月中奖清册 幸运儿只花4元中千万
n13536147,向心共谍案不起诉 台高检署：侦查不备 发回续查
n13536427,外国在台使节秀台语贺虎年
n13536430,台总预算完成三读 删减额创近年最高
n13536433,全年未现黄蓝灯、蓝灯 台经院：制造业景气表现稳健
n13536436,赖清德贺锦丽首次国际互动  矢板：一中破功
n13536448,蓝营质疑评鉴不公 公督盟：监督不分蓝绿
